"","data.scientist","location","skill","endorsements"
"446","Paul Zikopoulos","Ontario, Canada","Technological Innovation","10"
"447","Paul Zikopoulos","Ontario, Canada","Book Writing","12"
"448","Paul Zikopoulos","Ontario, Canada","Presentations","13"
"449","Paul Zikopoulos","Ontario, Canada","Community Outreach","9"
"450","Paul Zikopoulos","Ontario, Canada","Spark","7"
"451","Paul Zikopoulos","Ontario, Canada","Big Data Analytics","8"
"452","Paul Zikopoulos","Ontario, Canada","Conference Speaking","9"
"453","Paul Zikopoulos","Ontario, Canada","Motivational Speaking","8"
"454","Michael Wu PhD","San Francisco Bay Area","Data Mining","208"
"455","Michael Wu PhD","San Francisco Bay Area","Analytics","166"
"456","Michael Wu PhD","San Francisco Bay Area","Machine Learning","149"
"457","Michael Wu PhD","San Francisco Bay Area","Social Media","108"
"458","Michael Wu PhD","San Francisco Bay Area","Big Data","105"
"459","Michael Wu PhD","San Francisco Bay Area","Algorithms","98"
"460","Michael Wu PhD","San Francisco Bay Area","Data Analysis","74"
"461","Michael Wu PhD","San Francisco Bay Area","Statistics","69"
"462","Michael Wu PhD","San Francisco Bay Area","Social Networking","54"
"463","Michael Wu PhD","San Francisco Bay Area","Social Media Marketing","35"
"464","Michael Wu PhD","San Francisco Bay Area","Predictive Analytics","29"
"465","Michael Wu PhD","San Francisco Bay Area","Gamification","28"
"466","Michael Wu PhD","San Francisco Bay Area","SaaS","25"
"467","Michael Wu PhD","San Francisco Bay Area","Hadoop","25"
"468","Michael Wu PhD","San Francisco Bay Area","Start-ups","22"
"469","Michael Wu PhD","San Francisco Bay Area","Predictive Modeling","19"
"470","Michael Wu PhD","San Francisco Bay Area","Web Analytics","18"
"471","Michael Wu PhD","San Francisco Bay Area","Enterprise Software","14"
"472","Michael Wu PhD","San Francisco Bay Area","Blogging","12"
"473","Michael Wu PhD","San Francisco Bay Area","Social Network Analysis","9"
"474","Michael Wu PhD","San Francisco Bay Area","Community Engagement","9"
"475","Michael Wu PhD","San Francisco Bay Area","Natural Language Processing","8"
"476","Michael Wu PhD","San Francisco Bay Area","Thought Leadership","8"
"477","Michael Wu PhD","San Francisco Bay Area","Software Engineering","7"
"478","Michael Wu PhD","San Francisco Bay Area","Data Visualization","6"
"479","Michael Wu PhD","San Francisco Bay Area","User Experience","6"
"480","Michael Wu PhD","San Francisco Bay Area","Python","6"
"481","Michael Wu PhD","San Francisco Bay Area","Scalability","5"
"482","Michael Wu PhD","San Francisco Bay Area","Text Mining","5"
"483","Michael Wu PhD","San Francisco Bay Area","Consumer Behavior","4"
"484","Michael Wu PhD","San Francisco Bay Area","Time Series Analysis","4"
"485","Michael Wu PhD","San Francisco Bay Area","Distributed Systems","4"
"486","Michael Wu PhD","San Francisco Bay Area","Statistical Modeling","4"
"487","Michael Wu PhD","San Francisco Bay Area","R","4"
"488","Michael Wu PhD","San Francisco Bay Area","Artificial Intelligence","4"
"489","Michael Wu PhD","San Francisco Bay Area","Graph Theory","3"
"490","Michael Wu PhD","San Francisco Bay Area","Community Development","3"
"491","Michael Wu PhD","San Francisco Bay Area","Web 2.0","3"
"492","Michael Wu PhD","San Francisco Bay Area","Pattern Recognition","3"
"493","Michael Wu PhD","San Francisco Bay Area","REST","3"
"494","Michael Wu PhD","San Francisco Bay Area","Lucene","3"
"495","Michael Wu PhD","San Francisco Bay Area","Neural Networks","2"
"496","Michael Wu PhD","San Francisco Bay Area","Regression","2"
"497","Michael Wu PhD","San Francisco Bay Area","Cluster Analysis","2"
"498","Michael Wu PhD","San Francisco Bay Area","Consumer Behaviour","2"
"499","Michael Wu PhD","San Francisco Bay Area","Technical Presentations","2"
"500","Michael Wu PhD","San Francisco Bay Area","Mobile Applications","2"
"501","Michael Wu PhD","San Francisco Bay Area","Knowledge Management","2"
"502","Michael Wu PhD","San Francisco Bay Area","Image Analysis","1"
"503","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","CRM","151"
"504","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Analytics","124"
"505","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Business Intelligence","105"
"506","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Cloud Computing","79"
"507","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Strategy","67"
"508","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Business Analysis","52"
"509","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Big Data","42"
"510","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Management","39"
"511","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Program Management","38"
"512","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Leadership","30"
"513","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Consulting","24"
"514","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Predictive Analytics","22"
"515","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Project Management","21"
"516","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Marketing Research","16"
"517","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Go-to-market Strategy","14"
"518","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Business Analytics","12"
"519","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Solution Architecture","11"
"520","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Data Mining","10"
"521","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Pre-sales","10"
"522","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Social CRM","9"
"523","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Business Transformation","7"
"524","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Analysis","7"
"525","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","SAS","6"
"526","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Social Business","6"
"527","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Customer Analysis","6"
"528","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Siebel","6"
"529","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Salesforce.com","4"
"530","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Enterprise Collaboration","3"
"531","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Customer Relationship Management (CRM)","3"
"532","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Siebel CRM","2"
"533","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Enterprise 2.0","2"
"534","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","SPSS","2"
"535","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Advanced Statistical Analysis","2"
"536","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Customer Support","2"
"537","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","PeopleSoft CRM","2"
"538","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Customer Satisfaction","2"
"539","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Customer Loyalty","2"
"540","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Customer Relationship Management","2"
"541","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","PeopleSoft","2"
"542","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Brand Loyalty","2"
"543","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Social Networking","2"
"544","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Customer Analytics","2"
"545","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","SaaS","1"
"546","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Business Requirements","1"
"547","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Telecommunications","1"
"548","Harish Kotadia, Ph.D.","Dallas/Fort Worth Area","Change Management","1"
"549","James Kobielus","Washington D.C. Metro Area","Big Data","206"
"550","James Kobielus","Washington D.C. Metro Area","Analytics","205"
"551","James Kobielus","Washington D.C. Metro Area","Business Intelligence","155"
"552","James Kobielus","Washington D.C. Metro Area","Enterprise Software","104"
"553","James Kobielus","Washington D.C. Metro Area","Thought Leadership","84"
"554","James Kobielus","Washington D.C. Metro Area","Cloud Computing","57"
"555","James Kobielus","Washington D.C. Metro Area","Product Management","54"
"556","James Kobielus","Washington D.C. Metro Area","Integration","50"
"557","James Kobielus","Washington D.C. Metro Area","SaaS","48"
"558","James Kobielus","Washington D.C. Metro Area","Competitive Analysis","43"
"559","James Kobielus","Washington D.C. Metro Area","Hadoop","43"
"560","James Kobielus","Washington D.C. Metro Area","Product Marketing","36"
"561","James Kobielus","Washington D.C. Metro Area","Data Warehousing","29"
"562","James Kobielus","Washington D.C. Metro Area","Strategy","25"
"563","James Kobielus","Washington D.C. Metro Area","Business Strategy","22"
"564","James Kobielus","Washington D.C. Metro Area","Competitive Intelligence","21"
"565","James Kobielus","Washington D.C. Metro Area","Data Integration","17"
"566","James Kobielus","Washington D.C. Metro Area","CRM","15"
"567","James Kobielus","Washington D.C. Metro Area","Business Process","14"
"568","James Kobielus","Washington D.C. Metro Area","Program Management","12"
"569","James Kobielus","Washington D.C. Metro Area","Data Management","9"
"570","James Kobielus","Washington D.C. Metro Area","Go-to-market Strategy","9"
"571","James Kobielus","Washington D.C. Metro Area","Strategic Partnerships","9"
"572","James Kobielus","Washington D.C. Metro Area","Cross-functional Team Leadership","6"
"573","James Kobielus","Washington D.C. Metro Area","Enterprise IT Strategy","6"
"574","James Kobielus","Washington D.C. Metro Area","Music","6"
"575","James Kobielus","Washington D.C. Metro Area","Scalability","6"
"576","James Kobielus","Washington D.C. Metro Area","Poetry","5"
"577","James Taylor","San Francisco Bay Area","Analytics","293"
"578","James Taylor","San Francisco Bay Area","Strategy","253"
"579","James Taylor","San Francisco Bay Area","Predictive Analytics","162"
"580","James Taylor","San Francisco Bay Area","Business Rules","89"
"581","James Taylor","San Francisco Bay Area","Product Management","184"
"582","James Taylor","San Francisco Bay Area","Management Consulting","71"
"583","James Taylor","San Francisco Bay Area","Enterprise Software","118"
"584","James Taylor","San Francisco Bay Area","Business Intelligence","99"
"585","James Taylor","San Francisco Bay Area","Competitive Analysis","77"
"586","James Taylor","San Francisco Bay Area","Decision Modeling","30"
"587","James Taylor","San Francisco Bay Area","Decision Management","7"
"588","James Taylor","San Francisco Bay Area","Management","86"
"589","James Taylor","San Francisco Bay Area","Start-ups","86"
"590","James Taylor","San Francisco Bay Area","Data Mining","73"
"591","James Taylor","San Francisco Bay Area","Consulting","69"
"592","James Taylor","San Francisco Bay Area","Leadership","50"
"593","James Taylor","San Francisco Bay Area","Decision Support","42"
"594","James Taylor","San Francisco Bay Area","Cross-functional Team Leadership","41"
"595","James Taylor","San Francisco Bay Area","Business Strategy","35"
"596","James Taylor","San Francisco Bay Area","Software Development","35"
"597","James Taylor","San Francisco Bay Area","Product Marketing","29"
"598","James Taylor","San Francisco Bay Area","Big Data","24"
"599","James Taylor","San Francisco Bay Area","Cloud Computing","25"
"600","James Taylor","San Francisco Bay Area","Business Process","21"
"601","James Taylor","San Francisco Bay Area","Decision Analysis","18"
"602","James Taylor","San Francisco Bay Area","Enterprise Architecture","16"
"603","James Taylor","San Francisco Bay Area","Thought Leadership","16"
"604","James Taylor","San Francisco Bay Area","IT Strategy","15"
"605","James Taylor","San Francisco Bay Area","Strategic Partnerships","15"
"606","James Taylor","San Francisco Bay Area","Business Analytics","15"
"607","James Taylor","San Francisco Bay Area","Strategic Consulting","13"
"608","James Taylor","San Francisco Bay Area","Business Process Improvement","13"
"609","James Taylor","San Francisco Bay Area","Positioning","11"
"610","James Taylor","San Francisco Bay Area","Business Planning","11"
"611","James Taylor","San Francisco Bay Area","Business Transformation","11"
"612","James Taylor","San Francisco Bay Area","Architecture","9"
"613","James Taylor","San Francisco Bay Area","Business Process Design","8"
"614","James Taylor","San Francisco Bay Area","Professional Services","9"
"615","James Taylor","San Francisco Bay Area","Software Consulting","7"
"616","James Taylor","San Francisco Bay Area","Go-to-market Strategy","7"
"617","James Taylor","San Francisco Bay Area","Strategic Thinking","8"
"618","James Taylor","San Francisco Bay Area","Decision Management Systems","7"
"619","James Taylor","San Francisco Bay Area","Expert Systems","6"
"620","James Taylor","San Francisco Bay Area","Integrated Marketing","6"
"621","James Taylor","San Francisco Bay Area","Executive Management","6"
"622","James Taylor","San Francisco Bay Area","Mergers & Acquisitions","6"
"623","James Taylor","San Francisco Bay Area","Teaching","6"
"624","James Taylor","San Francisco Bay Area","Business Process Management","7"
"625","Mark van Rijmenam","Sydney, Australia","Online Marketing","68"
"626","Mark van Rijmenam","Sydney, Australia","Marketing Strategy","65"
"627","Mark van Rijmenam","Sydney, Australia","Big Data","56"
"628","Mark van Rijmenam","Sydney, Australia","Entrepreneurship","54"
"629","Mark van Rijmenam","Sydney, Australia","Social Media Marketing","45"
"630","Mark van Rijmenam","Sydney, Australia","Management","41"
"631","Mark van Rijmenam","Sydney, Australia","Strategy","39"
"632","Mark van Rijmenam","Sydney, Australia","Start-ups","30"
"633","Mark van Rijmenam","Sydney, Australia","Leadership","27"
"634","Mark van Rijmenam","Sydney, Australia","Digital Media","24"
"635","Mark van Rijmenam","Sydney, Australia","Social Media","17"
"636","Mark van Rijmenam","Sydney, Australia","Marketing","17"
"637","Mark van Rijmenam","Sydney, Australia","Innovation","12"
"638","Mark van Rijmenam","Sydney, Australia","Analytics","12"
"639","Mark van Rijmenam","Sydney, Australia","New Business Development","11"
"640","Mark van Rijmenam","Sydney, Australia","Marketing Communications","11"
"641","Mark van Rijmenam","Sydney, Australia","Hospitality","7"
"642","Mark van Rijmenam","Sydney, Australia","Mobile Marketing","6"
"643","Mark van Rijmenam","Sydney, Australia","Consulting","6"
"644","Mark van Rijmenam","Sydney, Australia","Digital media strategy","5"
"645","Mark van Rijmenam","Sydney, Australia","Digital Strategy","5"
"646","Mark van Rijmenam","Sydney, Australia","Business Development","5"
"647","Mark van Rijmenam","Sydney, Australia","Brand Management","4"
"648","Mark van Rijmenam","Sydney, Australia","Communication","4"
"649","Mark van Rijmenam","Sydney, Australia","New Media","3"
"650","Mark van Rijmenam","Sydney, Australia","New Web Technologies","2"
"651","Mark van Rijmenam","Sydney, Australia","Creative Concept Development","2"
"652","Mark van Rijmenam","Sydney, Australia","Blockchain","0"
